Program,Gender,Age,Organization,Parents,Food_Lodging,Transport,Entertainment,CellCost,Sleep,SocialMedia,StudyHours,WorkHours,Traveled_Outside,Tuition,Coffee_Daily,Height (cm),Weight (kg),Prev_Monthly_Salary,Expected_Monthly_Salary,BMI,Employment_Rate (%),Industry_Placement,Avg_Salary_After_Graduation
Hrmg,Female,22.0,. Non-profit or Government Agency,No,700.0,0.0,100.0,68.0,8.0,10.0,10.0,0.0,Yes,No,0.0,177.8,110.0,1400.0,4000.0,34.79598795932286,85,Human Resources,45000
Hrmg,Female,24.0,. Small Company,Yes,300.0,600.0,150.0,60.0,8.0,7.0,20.0,0.0,Yes,Yes,2.0,175.0,63.0,2000.0,3750.0,20.571428571428573,85,Human Resources,45000
Hrmg,Male,24.0,. Small Company,Yes,200.0,100.0,150.0,82.0,6.0,20.0,20.0,8.0,Yes,No,0.0,182.88,100.0,2000.0,3500.0,29.899751157527007,85,Human Resources,45000
Hrmg,Female,34.0,. Large Corporation,Yes,300.0,500.0,400.0,70.0,7.0,14.0,20.0,0.0,Yes,No,1.0,162.56,61.3,2500.0,3500.0,23.19706787851076,85,Human Resources,45000
Hrmg,Female,24.0,. Small Company,Yes,500.0,300.0,100.0,90.0,7.0,8.0,12.0,0.0,Yes,Yes,1.0,160.0,54.0,0.0,3800.0,21.09375,85,Human Resources,45000
Hrmg,Female,24.0,. Small Company,Yes,500.0,40.0,150.0,55.0,7.0,20.0,25.0,0.0,Yes,Yes,0.0,164.0,65.0,2500.0,5000.0,24.167162403331357,85,Human Resources,45000
Hrmg,Female,27.0,. Small Company,No,400.0,600.0,100.0,120.0,7.0,8.0,25.0,12.0,Yes,Yes,1.0,153.0,55.0,2300.0,3000.0,23.49523687470631,85,Human Resources,45000
Hrmg,Male,25.0,. Large Corporation,Yes,300.0,50.0,100.0,45.0,7.0,4.0,12.0,3.5,Yes,Yes,0.25,165.0,70.3,1300.0,1600.0,25.821854912764007,85,Human Resources,45000
Hrmg,Female,22.0,. Large Corporation,No,500.0,0.0,30.0,95.0,10.0,5.0,40.0,0.0,No,No,3.0,155.45,50.0,1600.0,2500.0,20.691336878655964,85,Human Resources,45000
Hrmg,Female,24.0,. Large Corporation,Yes,1000.0,150.0,60.0,0.0,7.0,25.0,40.0,8.0,Yes,No,1.0,165.0,58.0,0.0,3000.0,21.30394857667585,85,Human Resources,45000
Hrmg,Male,23.0,. Small Company,Yes,400.0,340.0,250.0,60.0,7.0,2.0,24.0,8.0,No,Yes,3.0,179.0,86.0,2500.0,3200.0,26.840610467838083,85,Human Resources,45000
Hrmg,Female,25.0,. Large Corporation,Yes,500.0,100.0,140.0,53.76,5.0,5.0,30.0,0.0,Yes,Yes,0.0,150.0,50.0,3500.0,4000.0,22.22222222222222,85,Human Resources,45000
Hrmg,Female,22.0,. Large Corporation,Yes,300.0,0.0,200.0,125.0,8.0,14.0,20.0,12.0,Yes,No,1.0,174.0,51.0,800.0,4000.0,16.84502576298058,85,Human Resources,45000
Hrmg,Female,23.0,. Non-profit or Government Agency,Yes,200.0,120.0,100.0,65.0,6.0,2.0,10.0,4.0,Yes,No,1.0,163.0,49.0,1700.0,3000.0,18.442545824080696,85,Human Resources,45000
Hrmg,Female,24.0,. Small Company,Yes,400.0,440.0,100.0,100.0,6.5,3.0,12.0,0.0,Yes,No,2.0,160.0,66.0,1600.0,3750.0,25.78125,85,Human Resources,45000
Hrmg,Female,23.0,. Large Corporation,Yes,400.0,0.0,50.0,55.0,6.5,31.5,30.0,0.0,Yes,Yes,1.0,157.0,66.0,2000.0,3750.0,26.77593411497424,85,Human Resources,45000
Hrmg,Male,29.0,. Small Company,No,1000.0,40.0,100.0,95.0,7.0,1.5,40.0,10.0,Yes,Yes,1.0,170.0,81.0,2400.0,4000.0,28.027681660899656,85,Human Resources,45000
Hrmg,Female,35.0,. Non-profit or Government Agency,No,300.0,60.0,80.0,50.0,7.0,1.0,36.0,7.0,Yes,No,0.0,157.0,64.0,3900.0,4500.0,25.96454217209623,85,Human Resources,45000
